HFDTLT,LBLHFDTLT,GEWASGROEP,Label,CODE9,LABEL_2019_ENG,CODE9_EN
8563,Ajuinen (vroege) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
8564,Wortel (vroege) (consumptie) - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
859,Peterselie - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
864,Basilicum - industrie,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
906,Zoete aardappel,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
931,Erwten (andere dan droog geoogst) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
94,Snijbonen - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9409,Pastinaak - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9410,Stamslabonen/sperziebonen - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9412,Flageolets (voor de boon) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9456,Butternutpompoenen - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
951,Andere groenten - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9511,Asperges - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9512,Spruitkool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9513,Sjalotten - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9514,Ajuinen (niet vroege) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9515,Witloof (forcerie) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9517,Rabarber - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9518,Kropsla - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9519,Spinazie - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9523,Bloemkool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9524,Boerenkool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9525,Broccoli - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9526,Chinese kool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9527,Rode kool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9528,Koolraap - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9529,Koolrabi - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9530,Raap - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9531,Radijs - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9533,Schorseneer - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9534,(Knol)venkel - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9535,Wortel (niet-vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9537,Andijvie - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9538,Prei - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9539,Bladselder - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9540,Witte kool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9541,Courgettes - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9542,Veldsla - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9543,Knolselder - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9544,Ijsbergsla - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9545,Raketsla - Rucola - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9546,Savooikool - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9548,Groene selder - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9550,Rammenas - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9551,Bleekselder - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9552,Tomaten - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9554,Komkommers - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9555,Aubergines - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9556,Pompoenen - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9557,Andere alternatieve slasoorten - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9561,Witloofwortel,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9563,Ajuinen (vroege) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9564,Wortel (vroege) (consumptie) - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9586,Artisjok - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
959,Peterselie - vers,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9602,Boomkweek - fruitkweek,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
964,Basilicum - vers verbruik,"Groenten, kruiden en sierplanten","Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
96,Niet-eetbare tuinbouwgewassen,Overige gewassen,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9724,Aardbeiplanten,Overige gewassen,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9811,Cichorei (inuline),Overige gewassen,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9812,Cichorei (koffiesurrogaat),Overige gewassen,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
741,Voederkool (bladkool),Voedergewassen,"Fruits, légumes, fleurs",FR_LE_FLE,"Flower, fruit, vegetable",FL_FR_VEG
9716,Wijnstokken,Fruit en Noten,vigne,VIGNE,Vineyard,VINEYARD
963,Wijmenaanplantingen,Houtachtige gewassen,Vigne,VIGNE,Vineyard,VINEYARD
311,Wintertarwe,"Granen, zaden en peulvruchten",Blé tendre d'hiver,BLE_TEN_H,Winter bread wheat,WHEAT_B_W
6031,Zaaizaad wintertarwe of triticale,"Granen, zaden en peulvruchten",Blé tendre d'hiver,BLE_TEN_H,Winter bread wheat,WHEAT_B_W
312,Zomertarwe,"Granen, zaden en peulvruchten",Blé tendre de printemps,BLE_TEN_P,Spring bread wheat,WHEAT_B_S
321,Wintergerst,"Granen, zaden en peulvruchten",Orge d'hiver,ORGE_H,Winter barley,BARLEY_W
322,Zomergerst,"Granen, zaden en peulvruchten",Orge de printemps,ORGE_P,Spring barley,BARLEY_S
323,Brouwgerst,"Granen, zaden en peulvruchten",Autres,AUTRES,Other,OTHER
98,Faunamengsel,"Granen, zaden en peulvruchten",Autres,AUTRES,Other,OTHER
9590,Solitaire bomen,"Groenten, kruiden en sierplanten",Autres,AUTRES,Other,OTHER
602,Teeltmateriaal wijnstokken,Houtachtige gewassen,Autres,AUTRES,Other,OTHER
9825,Heide in natuurbeheer,Houtachtige gewassen,Autres,AUTRES,Other,OTHER
1,Hoofdgebouwen,Landbouwinfrastructuur,Autres,AUTRES,Other,OTHER
2,Andere stallen en gebouwen,Landbouwinfrastructuur,Autres,AUTRES,Other,OTHER
85,Andere bedekking,Overige gewassen,Autres,AUTRES,Other,OTHER
9,Onverharde landingsbaan of veiligheidszones op vliegvelden,Overige gewassen,Autres,AUTRES,Other,OTHER
9568,Plantgoed en teeltmateriaal van vlinderbloemige groenten,Overige gewassen,Autres,AUTRES,Other,OTHER
9569,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,Overige gewassen,Autres,AUTRES,Other,OTHER
99,Teelt niet vast te stellen,Overige gewassen,Autres,AUTRES,Other,OTHER
999,Niet nader omschreven gewas - kleine landbouwer,Overige gewassen,Autres,AUTRES,Other,OTHER
3,"Poelen <= 0,1 ha",Water,Autres,AUTRES,Other,OTHER
332,Zomerrogge,"Granen, zaden en peulvruchten",Seigle de printemps,SEIGLE_P,Spring rye,RYE_S
639,Snijrogge,Overige gewassen,Seigle de printemps,SEIGLE_P,Spring rye,RYE_S
34,Japanse haver,"Granen, zaden en peulvruchten",Avoine d'hiver,AVOINE_H,Winter oat,OAT_W
341,Winterhaver,"Granen, zaden en peulvruchten",Avoine d'hiver,AVOINE_H,Winter oat,OAT_W
342,Zomerhaver,"Granen, zaden en peulvruchten",Avoine de printemps,AVOINE_P,Spring oat,OAT_S
35,Triticale,"Granen, zaden en peulvruchten",Triticale de printemps,TRITICA_P,Spring Triticale,TRITICA_S
