LBLHFDTLT,GEWASGROEP
Tuin- en veldbonen (Vicia faba) - vers,"Groenten, kruiden en sierplanten"
Rammenas - vers,"Groenten, kruiden en sierplanten"
Rammenas - industrie,"Groenten, kruiden en sierplanten"
Basilicum - industrie,"Groenten, kruiden en sierplanten"
Aubergines - vers,"Groenten, kruiden en sierplanten"
Snijbloemen andere dan rozen >= 5 jaar,"Groenten, kruiden en sierplanten"
Bleekselder - industrie,"Groenten, kruiden en sierplanten"
Andere alternatieve slasoorten - industrie,"Groenten, kruiden en sierplanten"
Sjalotten - vers,"Groenten, kruiden en sierplanten"
Asperges - industrie,"Groenten, kruiden en sierplanten"
Flageolets (voor de boon) - vers,"Groenten, kruiden en sierplanten"
Sjalotten - industrie,"Groenten, kruiden en sierplanten"
Witloof (forcerie) - industrie,"Groenten, kruiden en sierplanten"
Kropsla - industrie,"Groenten, kruiden en sierplanten"
Raketsla - Rucola - vers,"Groenten, kruiden en sierplanten"
Koolraap - vers,"Groenten, kruiden en sierplanten"
Snijplanten < 5 jaar,"Groenten, kruiden en sierplanten"
Veldsla - industrie,"Groenten, kruiden en sierplanten"
Zaaizaad groenten,"Groenten, kruiden en sierplanten"
Artisjok - vers,"Groenten, kruiden en sierplanten"
Ijsbergsla - vers,"Groenten, kruiden en sierplanten"
Kervel - vers,"Groenten, kruiden en sierplanten"
Butternutpompoenen - industrie,"Groenten, kruiden en sierplanten"
Boerenkool - vers,"Groenten, kruiden en sierplanten"
Engelwortel - industrie,"Groenten, kruiden en sierplanten"
Basilicum - vers verbruik,"Groenten, kruiden en sierplanten"
Bieslook - vers verbruik,"Groenten, kruiden en sierplanten"
Kervel - industrie,"Groenten, kruiden en sierplanten"
Snijplanten >= 5 jaar,"Groenten, kruiden en sierplanten"
Rode biet - industrie,"Groenten, kruiden en sierplanten"
Raketsla - Rucola - industrie,"Groenten, kruiden en sierplanten"
Boomkweek - bos- en haagplanten,Houtachtige gewassen
Houtkanten en houtwallen <= 10 m breed,Houtachtige gewassen
Bebossing (korte omlooptijd),Houtachtige gewassen
Bomen in groep,Houtachtige gewassen
Bebossing met contract voor 2008,Houtachtige gewassen
Bebossing loofbomen-economisch,Houtachtige gewassen
Heide in natuurbeheer,Houtachtige gewassen
Bebossing loofbomen-ecologisch,Houtachtige gewassen
Bebossing populieren,Houtachtige gewassen
Wijmenaanplantingen,Houtachtige gewassen
Bomenrijen,Houtachtige gewassen
Teeltmateriaal wijnstokken,Houtachtige gewassen
Bebossing naaldbomen,Houtachtige gewassen
Andere stallen en gebouwen,Landbouwinfrastructuur
Hoofdgebouwen,Landbouwinfrastructuur
Silomaïs,Maïs
Korrelmaïs,Maïs
Niet nader omschreven gewas - kleine landbouwer,Overige gewassen
Bloemenmengsel,Overige gewassen
Braakliggend land zonder minimale activiteit,Overige gewassen
Braakliggend land met minimale activiteit met EAG,Overige gewassen
Begraasde niet-landbouwgrond,Overige gewassen
Cichorei (inuline),Overige gewassen
Bladrammenas,Overige gewassen
Niet-eetbare tuinbouwgewassen,Overige gewassen
Tagetes (Afrikaantje),Overige gewassen
Onverharde landingsbaan of veiligheidszones op vliegvelden,Overige gewassen
Andere niet-vlinderbloemige groenbedekker,Overige gewassen
Aardbeiplanten,Overige gewassen
Jongplanten voor de sierteelt,Overige gewassen
Hop,Overige gewassen
Tabak,Overige gewassen
Braakliggend land met minimale activiteit zonder EAG,Overige gewassen
Plantgoed en teeltmateriaal van vlinderbloemige groenten,Overige gewassen
Snijrogge,Overige gewassen
Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,Overige gewassen
Bloemenmengsel voor EAG Braak,Overige gewassen
Gele mosterd,Overige gewassen
Andere bedekking,Overige gewassen
Phacelia,Overige gewassen
Miscanthus,Overige gewassen
Niet ingezaaid akkerland,Overige gewassen
Mengsel van niet-vlinderbloemige groenbedekkers,Overige gewassen
Andere vlinderbloemige groenbedekker,Overige gewassen
Soedangras,Overige gewassen
Volkstuinpark,Overige gewassen
Champignons (loods),Overige gewassen
Cichorei (koffiesurrogaat),Overige gewassen
Teelt niet vast te stellen,Overige gewassen
Festulolium,Overige gewassen
Suikerbieten,Suikerbieten
Vezelvlas (bestemd voor vezelproductie),Vlas en hennep
Andere hennep dan vezelhennep (niet voor menselijke consumptie),Vlas en hennep
Olievlas (geen vezelvlas),Vlas en hennep
Vezelhennep (bestemd voor vezelproductie),Vlas en hennep
Grasklaver,Voedergewassen
Voederbieten,Voedergewassen
