HFDTLT,LBLHFDTLT,GEWASGROEP
9,Onverharde landingsbaan of veiligheidszones op vliegvelden,Overige gewassen
9536,Champignons (loods),Overige gewassen
9565,Jongplanten voor de sierteelt,Overige gewassen
9568,Plantgoed en teeltmateriaal van vlinderbloemige groenten,Overige gewassen
9569,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,Overige gewassen
96,Niet-eetbare tuinbouwgewassen,Overige gewassen
9724,Aardbeiplanten,Overige gewassen
9811,Cichorei (inuline),Overige gewassen
9812,Cichorei (koffiesurrogaat),Overige gewassen
9821,Tabak,Overige gewassen
9822,Hop,Overige gewassen
9831,Bloemenmengsel,Overige gewassen
9832,Bloemenmengsel voor EAG Braak,Overige gewassen
99,Teelt niet vast te stellen,Overige gewassen
999,Niet nader omschreven gewas - kleine landbouwer,Overige gewassen
91,Suikerbieten,Suikerbieten
45,Olievlas (geen vezelvlas),Vlas en hennep
872,Andere hennep dan vezelhennep (niet voor menselijke consumptie),Vlas en hennep
921,Vezelvlas (bestemd voor vezelproductie),Vlas en hennep
922,Vezelhennep (bestemd voor vezelproductie),Vlas en hennep
660,Grasluzerne,Voedergewassen
700,Grasklaver,Voedergewassen
71,Voederbieten,Voedergewassen
721,Eenjarige klaver,Voedergewassen
722,Meerjarige klaver,Voedergewassen
723,Rode klaver,Voedergewassen
731,Eenjarige luzerne,Voedergewassen
732,Meerjarige luzerne,Voedergewassen
741,Voederkool (bladkool),Voedergewassen
742,Voederwortelen,Voedergewassen
743,Andere voedergewassen,Voedergewassen
744,Mengsel van vlinderbloemigen,Voedergewassen
745,Mengsel van gras en vlinderbloemigen (andere dan grasklaver of g,Voedergewassen
746,Voederrapen,Voedergewassen
747,Wikke,Voedergewassen
3,"Poelen <= 0,1 ha",Water
897,Bos,
